time,state,t2m,tp,lai_hv,lai_lv,cases,deaths
2020-01-01,TIBESTI,13.226862577626889,-273.1499938174818,-273.1396639784388,-272.8853468924349,15.0,0.0
2020-01-01,BORKOU,17.9383109731221,-273.14999825710635,-273.1361323177489,-272.7934840903278,80.0,0.0
2020-01-01,ENNEDI OUEST,14.834963429672769,-273.14999877119607,-273.09677180558833,-272.805283821553,58.0,0.0
2020-01-01,WADI FIRA,18.471731735061837,-273.14999894759455,-272.8813825334821,-272.29080904447113,600.0,0.0
2020-01-01,SALAMAT,25.26167897379122,-273.14999894759455,-272.5825288442792,-271.8382369913519,621.0,3.0
2020-01-01,SILA,24.064167038066273,-273.14999894759455,-272.30549873505663,-271.88208229013736,512.0,3.0
2020-01-01,OUADDAI,22.4414871155509,-273.14999894759455,-271.716162109375,-271.97945715862767,2395.0,0.0
2020-01-01,GUERA,24.384251436914496,-273.14999894759455,-272.57267989359895,-271.85928654115816,1500.0,8.0
2020-01-01,BATHA,21.94137436093547,-273.14999894759455,-272.57585407512727,-272.198350270255,1428.0,1.0
2020-01-01,HADJER LAMIS,22.620633820564535,-273.14999894759455,-271.88393151067913,-271.8613563783707,5118.0,0.0
2020-01-01,BAHR EL GAZEL,19.76165909431637,-273.1499988709123,-273.131591068097,-272.4899689436467,259.0,1.0
2020-01-01,KANEM,18.6827978772165,-273.14999868317074,-273.14821897062444,-272.690615208721,163.0,0.0
2020-01-01,CHARI BAGUIRMI,23.96568336184862,-273.14999894759455,-272.40481581876645,-271.8086295658806,1770.0,5.0
2020-01-01,LAC,20.848848230698536,-273.14999894759455,-271.6832778033088,-272.0518166934742,445.0,0.0
2020-01-01,LOGONE OCCIDENTAL,24.698739232772482,-273.14999894759455,-271.5853340344551,-271.49481889773637,6812.0,26.0
2020-01-01,LOGONE ORIENTAL,25.399285888671898,-273.14999894759455,-271.7828767140706,-272.16889101664225,8581.0,34.0
2020-01-01,MANDOUL,25.620987557364515,-273.14999894759455,-271.77767444957385,-271.7874597082605,10187.0,9.0
2020-01-01,MAYO KEBBI EST,24.474182942708353,-273.14999894759455,-272.42487304687495,-271.7537736002604,3680.0,30.0
2020-01-01,MAYO KEBBI OUEST,24.76081132038985,-273.14999894759455,-272.15835033454516,-271.72370267056,4241.0,9.0
2020-01-01,MOYEN CHARI,25.834003732895724,-273.14999894759455,-271.8072847084181,-271.74068379599663,6565.0,24.0
2020-01-01,TANDJILE,25.034016365840557,-273.14999894759455,-271.69319857893316,-271.7143992456896,7877.0,25.0
2020-01-01,NDJAMENA,22.780419921875023,-273.14999894759455,-270.72080078125,-271.8291585286458,8882.0,18.0
2020-01-01,ENNEDI EST,12.434465149730102,-273.1499989277845,-273.13198095631634,-272.73998136953236,227.0,0.0
2020-02-01,TIBESTI,15.49661799075119,-273.1499984664358,-273.1396639784388,-272.88533255792953,28.0,0.0
2020-02-01,BORKOU,20.322452450616254,-273.14999879869447,-273.1361323177489,-272.79347029438446,111.0,0.0
2020-02-01,ENNEDI OUEST,17.426776919157646,-273.1499985007253,-273.09677180558833,-272.80514098313444,56.0,0.0
2020-02-01,WADI FIRA,21.02907634357831,-273.14999902408204,-272.8814817994505,-272.28339334005835,462.0,0.0
2020-02-01,SALAMAT,28.54055110503009,-273.14999902454053,-272.5819056546624,-271.8475478445995,567.0,4.0
2020-02-01,SILA,27.232876402579734,-273.14999902454053,-272.3068935317481,-271.89518682492655,602.0,1.0
2020-02-01,OUADDAI,25.169856063179395,-273.14999902454053,-271.71878637984804,-271.9833663035758,1897.0,2.0
2020-02-01,GUERA,27.39651336368962,-273.14999902454053,-272.57300421058306,-271.86865995207717,1018.0,6.0
2020-02-01,BATHA,24.390795866355973,-273.14999902453076,-272.57614345074325,-272.192151472415,922.0,0.0
2020-02-01,HADJER LAMIS,24.997941343245998,-273.14999902454053,-271.88624838552164,-271.87054216938634,2649.0,0.0
2020-02-01,BAHR EL GAZEL,21.96606257912447,-273.1499984920226,-273.13158976670775,-272.4833571053771,165.0,0.0
2020-02-01,KANEM,20.740765669466953,-273.1499962267627,-273.14821897062444,-272.6870679010234,94.0,0.0
2020-02-01,CHARI BAGUIRMI,26.633044014882955,-273.14999902454053,-272.4058326419236,-271.8409131374711,1059.0,3.0
2020-02-01,LAC,22.886957146139707,-273.14999486562647,-271.6842543658088,-272.04646067899813,539.0,0.0
2020-02-01,LOGONE OCCIDENTAL,27.439925130208337,-273.14999902454053,-271.6025459485176,-271.51360207582127,4449.0,22.0
2020-02-01,LOGONE ORIENTAL,28.089990234375023,-273.14999902454053,-271.78470713297526,-272.17945327758787,8918.0,23.0
2020-02-01,MANDOUL,28.68514020159529,-273.14999902454053,-271.7833861451049,-271.82342435396635,7748.0,19.0
2020-02-01,MAYO KEBBI EST,27.175485026041713,-273.14999902454053,-272.4261075846354,-271.8041202799479,1943.0,7.0
2020-02-01,MAYO KEBBI OUEST,27.364849067914633,-273.14999902454053,-272.17258059057855,-271.7379969832921,2607.0,18.0
2020-02-01,MOYEN CHARI,29.024577882304015,-273.14999902454053,-271.8048541368112,-271.7410839554826,5468.0,15.0
